Question ID,Answer
165921,greenback_party
165935,emiliano_zapata
102459,hanseatic_league
4179,teutonic_knights
4186,songhai_empire
149709,black_hole_of_calcutta
4396,epicurus
2359,martin_van_buren
110908,lewis_cass
104790,bonus_army
100716,seneca_falls_convention
2450,parthian_empire
102774,great_northern_war
188818,grover_cleveland
188825,nelson_mandela
188846,justinian_i
170415,leon_trotsky
164339,battle_of_marathon
143871,hanseatic_league
143885,manifest_destiny
109088,tang_dynasty
102977,taiping_rebellion
2639,marcus_licinius_crassus
3864,cleisthenes
2709,cyrus_the_great
105161,crimean_war
115409,seneca_falls_convention
3535,all_quiet_on_the_western_front
105217,the_crying_of_lot_49
160531,battle_of_shiloh
152390,francisco_vasquez_de_coronado
2919,orion_(mythology)
162743,charlemagne
115710,martin_van_buren
179200,alfred_the_great
177177,jacques_cartier
3150,huldrych_zwingli
105322,poseidon
3206,teutonic_knights
140462,peterloo_massacre
183477,henry_clay
185549,jacques_cartier
109781,kublai_khan
183519,third_crusade
183526,chiang_kai-shek
148722,ming_dynasty
146685,roger_b._taney
105728,council_of_trent
183589,marcus_garvey
3402,war_of_the_spanish_succession
157024,guru_nanak
107891,darius_i
163219,teapot_dome_scandal
3479,charlemagne
107954,council_of_chalcedon
3507,muhammad_ali_jinnah
122297,khmer_empire
163268,crimean_war
187852,jacques_cartier
187887,atlantic_charter
187894,charles_martel
187915,henry_vii_of_england
187922,hadrian
187936,henry_l._stimson
187950,parthian_empire
146013,henry_clay
167475,vitus_bering
187957,battle_of_actium
187964,battle_of_austerlitz
187971,adolf_eichmann
122465,benjamin_harrison
1617,trent_affair
187999,lollardy
188006,bonus_army
188020,john_brown_(abolitionist)
173691,john_sherman
116333,franklin_pierce
3731,hartford_convention
179865,zebulon_pike
153244,gustave_flaubert
116382,beowulf
155421,walter_mondale
175924,william_golding
186165,catch_22
106316,tammany_hall
147308,alexander_kerensky
1911,martin_van_buren
3997,prague_spring
147385,meiji_restoration
184275,parthian_empire
4053,safavid_dynasty
147427,gadsden_purchase
151529,lake_malawi
184310,maria_theresa
155666,james_agee
7161,things_fall_apart
6188,the_idiot
116403,margaret_atwood
184387,bronislaw_malinowski
6223,the_crying_of_lot_49
174202,d._h._lawrence
106631,hedda_gabler
188104,the_tin_drum
108745,the_picture_of_dorian_gray
144774,the_republic_(plato)
176841,bleak_house
108878,the_picture_of_dorian_gray
139608,anna_karenina
6510,the_importance_of_being_earnest
162162,jack_kerouac
102781,love_in_the_time_of_cholera
162176,madame_bovary
6531,the_mayor_of_casterbridge
6573,volpone
123326,jane_eyre
170436,thornton_wilder
4550,henry_wadsworth_longfellow
156429,orion_(mythology)
104916,nikolai_gogol
188888,the_count_of_monte_cristo
141792,hart_crane
172564,northanger_abbey
107044,the_structure_of_scientific_revolutions
4655,the_awakening_(chopin_novel)
162568,la_belle_dame_sans_merci
6706,anna_karenina
121401,the_frogs
121422,invisible_man
121457,langston_hughes
103026,steppenwolf_(novel)
4725,walt_whitman
164479,the_protestant_ethic_and_the_spirit_of_capitalism
148099,christopher_marlowe
109200,jean_genet
164521,pablo_neruda
107205,the_cherry_orchard
162526,invisible_man
6881,love_in_the_time_of_cholera
188881,invisible_man
105196,francisco_vasquez_de_coronado
6895,octavio_paz
187194,milan_kundera
187208,epic_of_gilgamesh
185164,joseph_conrad
4977,jean_genet
160636,clifford_odets
187201,nadine_gordimer
105378,the_master_builder
170933,four_quartets
168910,anthony_burgess
174545,oliver_goldsmith
7126,beowulf
121842,ethan_frome
5110,leo_tolstoy
173047,zora_neale_hurston
6314,william_golding
7168,rabindranath_tagore
5138,ambrose_bierce
173075,atalanta
7189,lord_jim
7224,j._m._coetzee
7245,the_tin_drum
5215,nikolai_gogol
179389,nadine_gordimer
5257,all_my_sons
107709,love_in_the_time_of_cholera
107716,major_barbara
5320,the_picture_of_dorian_gray
179403,joseph_conrad
157234,stephen_crane
138516,nathaniel_hawthorne
171304,baldr
164402,lorraine_hansberry
5453,fathers_and_sons_(novel)
148848,crime_and_punishment
185682,a_good_man_is_hard_to_find_(short_story)
183638,nikolai_gogol
5488,the_house_of_mirth
175980,george_eliot
183680,poseidon
165277,naguib_mahfouz
184450,brave_new_world
107982,benjamin_disraeli
5656,john_dryden
5677,the_rape_of_the_lock
7077,manuel_puig
167524,anansi
5733,jack_london
5754,pale_fire
188034,saul_bellow
120148,cyrus_the_great
188041,thomas_hardy
181902,saul_bellow
188062,silas_marner
188069,midnight's_children
108213,an_american_tragedy
150815,a_portrait_of_the_artist_as_a_young_man
173768,daniel_defoe
188118,bleak_house
188125,milan_kundera
5887,the_master_builder
